Label,Label_XName,UniqueID
Delete all,Delete all,97811183
Delete column,,837dbb2c
Delete connector,,0538f609
Delete content,,091e817d
Delete data warehause,,0d815954
Delete deployment,,4e54c463
Delete dimension,,95739fcf
Delete export,,98ace36e
Delete fact,,2f155b16
Delete filter,,5fc8c270
Delete future history if exists,,d898103c
Delete galaxy,,b88dff65
Delete group,,3f7374ac
Delete hierarchy,,181f2430
Delete historization,,c9693600
Delete import,,81e9c9ee
Delete index,,aef24434
Delete layer,,65f21377
Delete macro,,7cc0800f
Delete missing columns in imported tables,,640c7d3e
Delete missing sources,,65eb4a23
Delete model,,b7828ba0
Delete object script,,dad3bc69
Delete package,,89462b49
Delete parameter,,0f5d60cf
Delete partition,,c122a05a
Delete persisting,,b57a285f
Delete predefined transformation,,317fb723
Delete role,,ac18d11a
Delete schema,,d58a8d6b
Delete script,,110b5bef
Delete snapshot,,ab50f27c
Delete snapshot group,,a0418e9b
Delete source,,26f41308
Delete source constraint,,b2093519
Delete source reference,,aa956b0d
Delete star,,636e0b75
Delete table,,c3405135
Delete table reference,,b00c9665
Delete transformation,,e68c7614
DeltaQ,DeltaQ,e78da6d3
Denied member set,,7482d2e8
Dependencies,Dependencies,2e41b118
Depends on,Depends on,fcb4dd84
Deploy,,4c236daa
Deploy DACPAC ,Deploy DACPAC ,2bb81856
Deploy SSIS__Configurations,,e24a5f45
Deploy in single user mode,,425d95b8
Deployment,,870a8ffd
Deployment log,,2f761736
Deployment package,,d40dbb2f
Description,Description,526e0087
Detail page horizontal alignment,,1b85bf29
Detail page max height,,e533d704
Detail page max width,,72b846b6
Detail page vertical alignment,,865f7f8c
Detect deleted data&#10;Filter for historicized table&#10;Please use [S] alias like&#10;[S].[ModifyDate],,4c4f37e5
Detect deleted data&#10;Filter for source table&#10;Please use [I] alias like&#10;[I].[ModifyDate],,ea07ad14
Detect differences without to change repository,,ee13aaff
Detect new and changed data&#10;Filter for historicized table&#10;Please use [S] alias like&#10;[S].[ModifyDate],,2bdd5ae4
Detect new and changed data&#10;Filter for source table&#10;Please use [I] alias like&#10;[I].[ModifyDate],,69a09e78
Diagram,Diagram,913c5e96
Diagram filter,,47eb0f10
Dimension,Dimension,0bc70684
Dimension names,,7dc7631e
Dimensions,,914182d5
Direct source,Direct source,c1097e46
Directory,,c8f84c3c
DisplayFolder,,3d731d0b
Do not close,Do not close,d6066d44
Don't detect dependencies,,5f9231ae
Don't inherit PK,,a8634cb3
Drop objects not in source,,dea845ed
Duplicate,Duplicate,02cdaabf
Duplicate deployment,,1ff3ab68
Duplicate role,,103cf318
Duplicate transformation,,ad49e491
ETL,,6cab6d27
EULA,,98e4a4cc
Edit column,,4fcbb3ef
Edit connector,,4cb78a1b
Edit dimension,,7692c690
Edit export,,e01ed021
Edit fact,,979c208f
Edit galaxy,,b9bfc17d
Edit group,,f24f78c7
Edit hierarchy,,0aecfbfe
Edit hierarchy columns,,eea990a7
Edit historization,,deb179ee
Edit import,,cdc9f023
Edit index,,e1f991e0
Edit index columns,,25004ebf
Edit layer,,8c4e5e73
